project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
faterium,DELIVERED,2,2,faterium.md,,,5.0,1.61,8.05,9,0.27,,https://github.com/faterium/faterium-node,,cutoff,2.1986
galaxy,DELIVERED,2,1,galaxy.md,,,1.0,1.0,1.0,6,1.75,,https://github.com/7flash/galaxy-polkadot,1.00,commit,1.7518
hamster-millestone,DELIVERED,2,2,hamster.md,,,4.0,2.0,8.0,5,0.53,,https://github.com/hamster-shared/hamster,8.00,cutoff,4.268
Hyperdot,DELIVERED,2,2,Hyperdot.md,,,3.0,3.0,9.0,4,0.58,,https://github.com/Infra3-Network/hyperdot-node,,cutoff,5.1913
imbue_network,DELIVERED,2,2,imbue_network.md,,,3.0,,,2,,,https://github.com/imbuenetwork/imbue,0.00,cutoff,3.596
infimum,DELIVERED,2,2,infimum.md,,,0.0,6.0,,5,,,https://github.com/rhysbalevicius/infimum,0.00,cutoff,49.425
ink-boxes,DELIVERED,2,2,ink-boxes.md,,,,0.92,,1,,,https://github.com/nerdsince98/ink-boxes,,cutoff,31.4284
ink-explorer,DELIVERED,2,2,ink-explorer.md,,,2.0,4.0,8.0,5,0.41,,https://github.com/blockcoders/ink-substrate-explorer-api,18.00,cutoff,3.2658
ink-playground,DELIVERED,2,2,ink-playground-ide-improvements.md,,,3.0,,,3,,,https://github.com/Zeeve-App/ink-playground,,commit,7.42
inkscope-fuzzer,DELIVERED,2,1,inkscope-fuzzer.md,,,1.5,3.0,4.5,8,0.79,,https://github.com/inkscopexyz/inkscope-fuzzer,4.50,cutoff,3.5619
ink-smart-contract-wizard,DELIVERED,2,0,ink-smart-contract-wizard.md,,,,0.92,,1,,,https://github.com/avirajkhare00/ink-wizard,2.00,cutoff,0.425
InvArch,DELIVERED,2,2,InvArch.md,,,2.5,,,4,,,https://github.com/InvArch/InvArch-Pallet-Library,,cutoff,2.81
iris,DELIVERED,2,3,iris.md,,,1.5,3.22,4.83,6,,,https://github.com/iridium-labs/iris-docs,,cutoff,
ISO8583,DELIVERED,2,2,ISO-8583-implementation.md,,,1.0,4.0,4.0,10,,,https://github.com/adit313/ISO8583-Blockchain-Integration-Plan,4.00,head,
iso_8583_PoC,DELIVERED,2,2,,,,,,,,,,https://github.com/subclone/payment-processor,4.00,cutoff,3.781
lastic-price-simulator-milestione,DELIVERED,2,1,Lastic.md,,,2.0,,,4,,,https://github.com/LasticXYZ/price-simulation,,cutoff,0.4106
liberland,DELIVERED,2,2,liberland.md,,,3.0,5.0,15.0,5,4.3,,https://github.com/liberland/liberland_substrate,15.00,cutoff,64.49
