network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1590,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1589,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1588,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1587,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1586,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1585,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1584,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1583,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1582,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1581,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1580,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1579,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1578,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1577,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1576,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1575,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1574,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1573,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1572,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1571,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1570,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1569,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1568,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1567,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1566,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1565,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1564,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1563,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1562,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1561,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1560,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1559,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1558,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1557,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1556,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1555,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1554,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1553,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1552,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1551,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1550,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1549,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1548,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1547,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1546,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1545,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1544,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1543,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1542,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1541,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1540,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1539,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1538,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1537,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1536,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1535,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1534,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1533,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1532,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1531,,,,,,,,,,,,NO_DETAIL
